label,text
ham,"Doctor appointment reminder: Your scheduled annual check-up is tomorrow at 9:00 AM with Dr. Emily Watson at Central Health Clinic."
spam,"Hot singles in your area want to meet you tonight! Click here to browse profiles and chat for free."
ham,"Your monthly utility bill for August 2024 is now available. Total amount due: $78.45. Auto-pay is scheduled for August 28."
spam,"ALERT: Your Netflix subscription is expired. Please update your billing details within 24 hours to avoid service termination: http://netflix-billing-update.me"
ham,"Good morning everyone, just a reminder that the office will be closed this Monday for the Labor Day holiday. Have a wonderful long weekend!"
spam,"Investment Opportunity: Guaranteed 300% ROI in 7 days with automated AI forex trading bot. Deposit now to double your funds."
ham,"Hi David, thanks for sending the design mockups for the landing page. The team really likes the dark mode color scheme. Let us proceed with development."
spam,"Your Apple ID has been locked for security reasons. Click here to verify your identity and unlock your Apple services."
ham,"Receipt for your recent ride with Uber: Trip to Downtown Office on Aug 20. Total charged: $18.20. View breakdown in your account."
spam,"Free Walmart Gift Card worth $500! Complete this quick 2-minute survey to claim yours before offers run out."
ham,"Can you please review the attached contract draft before our client call tomorrow at 3 PM? Thanks, Jennifer."
spam,"WINNER! As a valued mobile customer you have been selected to receive a £900 prize reward! To claim call 09061701461. Claim code KL341."
ham,"Hey, did you get a chance to push the bug fix for the login page? We need to deploy the hotfix today."
spam,"URGENT: Your credit card payment has failed. Update your billing information immediately to avoid account suspension: http://secure-pay-update.com"
ham,"Thanks for your help with the database migration yesterday. Everything went smoothly without downtime."
spam,"Double your crypto investment in 24 hours! Guaranteed 200% return on Ethereum and Bitcoin. Join Telegram channel now."
ham,"The weekly engineering standup is rescheduled to 11:30 AM today due to a clash with executive meeting."
spam,"Free entry in 2 a weekly competition to win FA Cup final tickets. Text FA to 87121 to receive entry question."
ham,"Could you please share the API documentation for the new microservice endpoint? I need it for the frontend integration."
spam,"You have won a guaranteed cash prize of $50,000! Call 1-800-555-PRIZE now to claim your jackpot payout."
ham,"Hi John, I will be out of the office on Friday for a personal appointment. For urgent matters, please reach out to Lisa."
spam,"Act now! Your McAfee antivirus subscription expired today. Your PC is at risk of 5 malware infections. Renew immediately at 70% off."
ham,"The quarterly performance reviews will take place next week. Please complete your self-evaluation form by Friday."
spam,"Secret method to make $1,000 a day without any work. Click here to watch the exclusive video training before it gets taken down."
ham,"Attached is the updated budget spreadsheet for Q4 marketing campaigns. Please review and approve by EOD."
spam,"Dear Customer, your PayPal account has been limited due to suspicious transactions. Verify your account now at http://paypal-resolution-center.cc"
ham,"I have uploaded the raw dataset to the shared S3 bucket. Let me know once the preprocessing scripts are ready."
spam,"Get cheap generic Viagra, Cialis, and Levitra online with discreet overnight shipping! No prescription needed. Order now!"
ham,"The server maintenance is scheduled for Sunday at 2 AM UTC. Expected downtime is approximately 15 minutes."
spam,"You are pre-approved for an instant personal loan of up to $50,000 with 0% interest for 12 months. Apply with no credit check required."
ham,"Great job on the presentation today! The stakeholders were very impressed with our roadmap and deliverables."
spam,"ALERT from Geek Squad: We have renewed your annual technical support plan for $399.99. If you did not authorize this charge, call 1-888-999-0123 immediately to cancel."
ham,"Can we schedule a 15-minute 1-on-1 meeting tomorrow afternoon to discuss career development and quarterly goals?"
spam,"Special promotion! 90% off designer sunglasses and luxury watches. Free worldwide delivery on all orders placed today only."
ham,"Hi Mark, I tested the new payment gateway integration in staging and verified that webhook events are firing properly."
spam,"Your package could not be delivered because address is incomplete. Please update delivery address and pay $1.50 redelivery fee at http://post-service-tracking.top"
ham,"The meeting notes and action items from today's product sync have been published on Notion. Please review your assigned tasks."
spam,"You have been selected to participate in an exclusive paid clinical trial earning $800/day. Click here to check eligibility."
ham,"Hey, are you free this weekend to catch up and play badminton? Let me know what time works best for you."
spam,"Amazon Fraud Department: Order #892-1829371 for Apple iPhone 15 Pro Max placed on your account. If this was not you, call 1-800-444-2222."
ham,"Please find attached the signed non-disclosure agreement for the upcoming partnership discussion."
spam,"Earn instant passive income with our cutting-edge AI automated stock trader! Join over 10,000 happy millionaires today."
ham,"The pull request has been approved and merged into the main branch. Deploying to production environment shortly."
spam,"CONGRATULATIONS! Your email has won second place in the British National Charity Draw. Contact agent Mr. Robert on WhatsApp."
ham,"Don't forget to submit your expense reports for this month by Wednesday to ensure timely reimbursement."
spam,"You have 3 new private photos waiting on DatingHookup. Click to reveal and chat with girls near you."
ham,"Hi Team, we achieved 99.98% uptime for our cloud infrastructure this past month. Kudos to the DevOps team!"
spam,"Your Social Security Number has been flagged for criminal activity! Call Federal Law Enforcement Officer immediately at 1-888-000-1111 to avoid arrest."
ham,"Can you send me the slide deck for tomorrow's client kickoff? I want to make sure all timeline dates are aligned."
spam,"Claim your complimentary $100 Shell Gas Gift Card! Limited to the first 50 respondents today only."
ham,"The kitchen on the 3rd floor has fresh donuts and coffee. Help yourselves!"
spam,"FINAL WARNING: Your domain registration will expire in 24 hours. Renew your domain now to prevent website shutdown: http://domain-renewal-alert.biz"
ham,"I've updated the Docker configuration to use Python 3.11 slim image. Build times are now 40% faster."
spam,"Instant cash loan approved! $5,000 deposited to your account pending ID confirmation. Click here to confirm identity."
ham,"Reminder: Tomorrow is the deadline to enroll in next year's health insurance and dental benefits."
spam,"Exclusive invitation: VIP casino welcome bonus! Deposit $20 and play with $200 instantly. Spin to win millions today."
ham,"Hi Kevin, let's schedule a code walkthrough for the new recommendation engine before merging it into staging."
spam,"Target Rewards: You have $150 unused store credit points expiring tonight. Redeem your points now: http://target-points-claim.site"
ham,"The customer reported that their export to CSV function was timing out on large reports. I created a Jira ticket for this."
spam,"Warning: Multiple login attempts detected from unknown IP in Nigeria. Click here to protect your Google account immediately."
ham,"Here is the link to the design system Figma file with updated color tokens and button components."
spam,"You are eligible for debt relief! Settle your credit card debts for pennies on the dollar with our legal relief program."
ham,"Thanks for sending the feedback notes from the user research interviews. The insights are really helpful."
spam,"Earn $500 every single day by just testing mobile apps for 30 minutes! No experience needed, start right now."
ham,"The backup database restore test was completed successfully. Recovery time objective was well within our 15-minute SLA."
spam,"Notice of Unclaimed Funds: $2,850,000 held at European clearing bank in your name. Submit passport copy to claim transfer."
ham,"Can everyone please update their vacation calendar in BambooHR so we can plan sprint capacity accurately?"
spam,"Buy authentic Rolex watches at 95% discount. Limited factory clearance sale. Direct manufacturer pricing!"
ham,"The new feature flag has been enabled for 10% of users in beta. Monitoring error rates and latency on Datadog."
spam,"FREE iPhone 15 Pro giveaway for Verizon subscribers. Confirm your shipping address before midnight to claim."
ham,"Hi Rachel, thanks for organizing the team building event last Friday. Everyone had a great time!"
spam,"You have received a new voice message from +1 (800) 555-0199. Click here to listen: http://voicemail-audio-play.com"
ham,"I reviewed the API rate limits and increased the burst threshold to 100 requests per minute to prevent false throttles."
spam,"Direct deposit payment of $1,420.00 failed to process to your checking account. Update banking info now."
ham,"Please review the updated pull request when you get a chance. I resolved all comments and added unit tests."
spam,"Weight loss miracle! Lose 30 lbs in 14 days without diet or exercise. Doctor approved formula. Order risk-free trial."
ham,"Good morning team, the CI/CD pipeline is green and all automated integration tests have passed."
spam,"IRS Final Notice: Lawsuit filed under your name for tax evasion. Call immediately to settle tax balance and cancel warrant."
ham,"Hey Sam, do you have a few minutes to pair on debugging this race condition in the cache layer?"
spam,"FREE Casino chips worth $500! No deposit required. Play slots, poker, roulette and cash out your real winnings."
ham,"The client confirmed they would like to extend our consulting agreement for another 6 months."
spam,"Alert: Your Apple iCloud storage is full. Photos and backups will be permanently deleted. Upgrade now at http://icloud-storage-update.info"
ham,"I've prepared the release notes for version 1.4.0. Please check if any bug fixes or features were missed."
spam,"Congratulations user! You have been chosen as our 1,000,000th visitor! Claim your brand new iPad Pro today!"
ham,"Let's sync up after lunch regarding the architecture decision record for the event-driven notification service."
spam,"Work from home making $85/hour typing simple documents online! Start making money today, training provided."
ham,"The system logs indicate no anomalies or elevated error rates following yesterday's release."
spam,"Urgent security update required for your computer. Download the Microsoft certified patch immediately: http://patch-security-ms.co"
ham,"Hi Lisa, please remember to send the revised invoice with the updated purchase order number."
spam,"You have won £1,500,000 in the EuroMillions International Lottery. Send your bank details to claim payment."
ham,"The database index on user_id has been created. Query latency dropped from 450ms to 12ms."
spam,"Get rich quick with the newest automated crypto trading robot! 99.4% accuracy rate guaranteed."
ham,"Please check the shared drive for the latest customer satisfaction survey results and analysis summary."
spam,"Warning! Your mailbox has exceeded storage quota and will stop receiving emails in 2 hours. Validate here to expand quota."
ham,"Hey, are we still good for the weekly sync tomorrow at 10 AM? Let me know if you need to reschedule."
spam,"Your DHL shipment #84910284 has an unpaid delivery charge of $1.95. Pay here to release package for delivery."
ham,"I pushed the unit test coverage improvements for the user service. Coverage is now at 88%."
spam,"Unlock hidden wealth with secret real estate investment loopholes the government doesn't want you to know!"
ham,"Hi team, please find the agenda for our bi-weekly architecture review meeting attached."
spam,"You have 1 pending transfer of $4,500.00 in your Zelle account. Click here to accept transfer: http://zelle-payment-claim.xyz"
ham,"The frontend build size was reduced by 35% after optimizing image assets and enabling tree-shaking."
spam,"Special VIP offer! Buy 1 get 2 free on all herbal male enhancement supplements. Discreet packaging guaranteed."
ham,"Could you please grant me read access to the analytics dashboard in Google BigQuery? Thanks!"
spam,"Your Chase bank online access is temporarily restricted. Confirm your debit card pin and CVV to restore access."
ham,"All unit tests and end-to-end Cypress tests are passing smoothly on the staging environment."
spam,"Act fast! 100 free spins on mega jackpot slots plus $250 matched deposit bonus for new players."
ham,"Thanks for the detailed feedback on the API design proposal. I'll incorporate your suggestions into v2."
spam,"Official notification: You have been awarded $750,000 by the United Nations Development Programme. Reply with personal details."
ham,"The sprint retrospective is scheduled for 4 PM today. Please add your sticky notes to the Miro board."
spam,"Your computer is infected with 3 spyware viruses! Download CleanPC Pro immediately to remove malware."
ham,"Hi Chris, I've verified that the OAuth2 refresh token rotation works as expected in production."
spam,"URGENT: Suspicious debit of $899.00 to BESTBUY on your debit card. If unauthorized, call fraud prevention immediately."
ham,"We've updated our developer documentation with clear code examples for every public endpoint."
spam,"Make $500 every hour taking online surveys for top brands like Nike, Apple, and Sony! Sign up now!"
ham,"Hey everyone, the office coffee machine has been repaired and is working again."
spam,"FedEx Delivery Exception: Parcel held at distribution hub. Update delivery preferences at http://fedex-parcel-notice.top"
ham,"Please find attached the minutes of the quarterly board of directors meeting held on August 15."
spam,"Win a brand new Tesla Model 3! Enter your email and phone number now for 10 free lottery tickets."
ham,"The load testing results show our API can handle 5,000 concurrent requests with sub-100ms latency."
spam,"ATTENTION: Unclaimed stimulus check of $1,400 ready for direct deposit. Click here to confirm routing details."
ham,"Hi David, let's schedule a brief call to go over the edge cases for the international currency conversion feature."
spam,"Exclusive discount: 75% off Ray-Ban sunglasses and designer apparel today only. Free shipping!"
ham,"The migration of the legacy user authentication system to modern JWT tokens is now complete."
spam,"Alert: Your Dropbox account will be deactivated due to inactivity. Log in here to keep your files active."
ham,"I've updated the README with instructions on running local unit tests and generating coverage reports."
spam,"Make easy money online! Simple data entry jobs paying $35/hour. No interview needed, apply instantly."
ham,"Good morning team, our daily standup is starting in 5 minutes in the main conference room."
spam,"Your Wells Fargo account requires immediate security confirmation. Click here to verify your security questions."
ham,"Thanks for sending the updated wireframes for the settings page. The simplified toggle layout looks great."
spam,"You have been pre-selected for a $25,000 unsecured line of credit with no income verification."
ham,"The quarterly security audit found zero critical or high-severity vulnerabilities in our backend codebase."
spam,"Claim your $500 Amazon Gift Card balance today! Complete this sponsored offer survey to qualify."
ham,"Hi team, reminder that the deadline for submitting code changes for the upcoming release is 5 PM today."
spam,"Warning: Your email account password was leaked in a public data breach. Change your password here immediately."
ham,"I've refactored the database connection pooling logic to prevent connection leaks under heavy load."
spam,"Earn up to 15% daily returns with our proprietary crypto arbitrage trading platform! Sign up now."
ham,"The customer support team reported an increase in satisfaction ratings to 96% this quarter."
spam,"You have won $5,000,000 in the Microsoft Official Annual Sweepstakes! Reply with your full name and country."
ham,"Please review the updated API schema changes in Swagger before we publish to the external developer portal."
spam,"Notice: Unpaid toll violation of $4.50 on Express Highway. Pay online today to avoid $50 late penalty."
ham,"Hi Sarah, thanks for sharing the user onboarding metrics. The drop-off rate decreased by 18%."
spam,"Get cheap flights and hotel deals at 90% discount! Limited secret sale ends in 3 hours."
ham,"The monitoring alert for CPU utilization was triggered during database indexing but has resolved."
spam,"URGENT: Your social media account will be permanently deleted due to copyright violation. Appeal here: http://social-appeal-desk.info"
ham,"Can you please double check if the customer invoice for Project Alpha includes the approved discount?"
spam,"Free sample pack of luxury perfumes and skincare creams! Pay only $1.99 shipping to receive yours."
ham,"The frontend integration with the GraphQL API has been completed and tested on mobile devices."
spam,"Alert: Your AT&T bill payment failed. Update payment method now to prevent service interruption."
ham,"Hi team, let's welcome our new backend engineer, Michael, who is joining us today!"
spam,"You have received $2,500 via CashApp from unknown sender. Click to accept payment into your bank."
ham,"I've added health check endpoints and Prometheus metrics to all our microservices."
spam,"Lose belly fat overnight with this 1 simple ancient fruit trick! Watch viral video before doctors ban it."
ham,"Please make sure all branch pull requests have at least two peer reviews before merging to main."
spam,"Final warning from IRS: Federal marshals dispatched for unpaid tax warrant. Call 1-800-TAX-HELP now."
ham,"The client confirmed acceptance of the user acceptance testing (UAT) phase. Ready for go-live!"
spam,"Congratulations! You've been chosen for an all-expenses-paid 7-day luxury cruise to the Bahamas!"
ham,"I've updated the Docker compose file to include the local Redis cache container for testing."
spam,"Your email has been selected for $1,000 PayPal balance reward! Enter your PayPal login to claim."
ham,"Great job resolving that high-priority production bug so quickly this morning!"
spam,"Earn $750/day posting reviews on Google Maps. No skills required, work from anywhere on your phone."
ham,"Hi Alex, here is the recap of our conversation with the product manager regarding the search filters."
spam,"Security Notice: Your bank login session timed out. Re-enter your PIN and password to continue."
ham,"The new search indexing pipeline reduced search query times from 800ms to 45ms."
spam,"Get prescription drugs without a doctor visit! Fast discreet delivery of generic medications online."
ham,"Can everyone please fill out the employee satisfaction survey by the end of the week?"
spam,"Target Gift Card winner notification! Claim your $250 voucher before code expires tonight."
ham,"I verified that all user passwords in the database are hashed with Argon2id and salt."
spam,"Urgent: Your eBay account has been suspended due to policy violation. Re-activate account here."
ham,"Let's do a quick sync at 2 PM to review the release checklist and rollback plan."
spam,"Double your Bitcoin in 60 minutes! Send 0.1 BTC and receive 0.2 BTC instantly back to your wallet."
ham,"The frontend tests now run automatically on every GitHub pull request via GitHub Actions."
spam,"You have 1 missed voice message from private number. Click to play audio: http://vmail-listen.xyz"
ham,"Hi Kevin, the design assets for the new dashboard widgets have been uploaded to Zeplin."
spam,"Unclaimed money alert! $1,200 in unclaimed state property found matching your name. Claim now."
ham,"The API gateway rate limiter is working properly and blocking abusive crawler IP addresses."
spam,"VIP Casino Invitation! $1,000 free bonus on your first deposit. Play blackjack, poker and slots."
ham,"Thanks for organizing the knowledge sharing session on container orchestration with Kubernetes."
spam,"Your credit score dropped by 65 points! Check the negative remark on your credit report for free now."
ham,"The latest release v2.1.0 has been deployed to production without any reported incidents."
spam,"Warning: Your mailbox is 98% full. Increase mailbox storage size here: http://mail-quota-expand.net"
ham,"Hi team, please remember that code freeze for the upcoming sprint begins on Wednesday at 5 PM."
spam,"Special clearance offer! 85% discount on smart watches, drones and electronics while supplies last."
ham,"I've created the Grafana dashboard for monitoring API request latency, error rates, and throughput."
spam,"Your Bank of America debit card has been locked. Verify personal details to unlock your card."
ham,"Let's schedule a retrospective meeting on Friday to discuss what went well and areas for improvement."
spam,"Earn $3,000 weekly as a secret shopper! Mystery shopper kit and check will be mailed to your address."
ham,"The customer onboarding documentation has been revised with step-by-step screenshots."
spam,"Free spin bonus! You have 50 free spins waiting on Mega Jackpot Slots. Claim your winnings!"
ham,"Hi Sarah, the performance audit shows our web app achieved a 98/100 score on Google Lighthouse."
spam,"URGENT: Legal notice served regarding unpaid debt collection. Call 1-888-DEBT-LAW to resolve."
ham,"All database migrations executed cleanly and indexes were applied without table locks."
spam,"Your order #983-12948 has shipped. Track package and claim $50 store credit: http://pkg-track.info"
ham,"Please review the updated pull request when you get a moment. All lint errors have been fixed."
spam,"Make $50,000 a month with this secret automated dropshipping system. Join masterclass today!"
ham,"The API documentation has been updated with detailed request/response examples and status codes."
spam,"Security Alert: New device logged in to your account from Beijing, China. If not you, secure account now."
ham,"Hey team, just a reminder that the office will be closed on Friday for the annual company retreat."
spam,"Congratulations! You have been selected to receive a complimentary iPhone 15! Claim now."
ham,"The new caching layer has reduced backend database load by 60% during peak traffic hours."
spam,"Urgent action required: Update your tax filing details to claim your $1,200 state rebate check."
ham,"Hi David, let's catch up tomorrow morning to finalize the Q4 product roadmap priorities."
spam,"Act now! Guaranteed weight loss with keto miracle pills. Order your discounted bottle today!"
ham,"The automated unit tests and integration tests have all passed successfully on the staging build."
spam,"You have won $2,000,000 in the Google Annual Lottery Draw! Contact claims department immediately."
